o	ADD, Asperger's, Bipolar, Epilepsy, ED Issues, PTSD. Some assembly required. Also included: Removable straitjacket, bizarre sense of humour and geek play toys!	patientanon	16253011
x	OF TWO MINDS is an award-winning feature documentary taking a new look at bipolar disorder, now on DVD/iTunes/Amazon and screening around the world. Share us!	OfTwoMindsFilm	399901172
o	sarcastic. cynical. feminist. atheist. bipolar. thighs of thunder. films. books. unapologetic rugby league fanatic.	ani_archy	41550430
x	#mh peer mentor #mi #stigma buster Activist @intlBipolar volunteer ❤️ @BBRF @NAMICommunicate @DBSAlliance MY #Recovery =WORK #Hope and meds.	Biggerthanbd	2588017297
x	Medical Research Council Fellow & NHS Psychiatrist. Interested in epidemiology of bipolar disorder and stuff. Unable to tweet advice, sorry.	in_psych	427295534
o	Just me trying to make it through everyday. #bipolar #ptsd #diabetes #fibromyalgia #devoted wife	laauton	28574907
o	19 years old. Diagnosed with Bipolar. Just tweeting my thoughts. My goal is to spread awarness. #EndStigma	teenwithbipolar	2388133910
x	social worker, clinician, PhD candidate; in recovery from bipolar disorder; mad identified: interests: peer supports, community development, mad theory	Casadi	21891427
o	Im a bipolar mother living with an illness that can cripple my family.  I blog with http://t.co/ZgmdHx90F2 hoping to reach out to other mothers out there!	abipolarmom	212076951
o	Newly 30, oldly #bipolar, newly blogging about it,oldly procrastinating by any means necessary...let's try Twitter!	bipolarette	139857033
o	#bipolar #bpd #ocd #anxiety #addiction #Pitbulls  your best bet for a fucking good time	ketteringhamc	3009940623
o	Dream Believe Achieve!! A mummy with Bipolar and BPD traits. I can do this!!	RayvenMental	409341288
c	diagnosis of bpd, bipolar i, dependent pd, addisons, bulimia - all i really use twitter for. pantera, sweets, cider, tom & my sister are my faves. merry xmas :)	sammharley	394137070
x	NHMRC ECR fellow with an interest in cognition, emotion, psychosis, bipolar disorder & depression	TamsynVR	2460618559
o	Love the positive, hate the negative, constantly struggling for the perfect balance #Libra #Bipolar #urbanhippie	Bipolar_journey	1528958928
o	I suffer from  #Schizoaffective #Bipolar Disorder.. I'm also the victim/survivor of violent crime. I'm doing my best to learn and adapt.	wasonceme	17698792
x	PhD student from the University of Manchester, researching #suicidality in #bipolar disorder. All views my own. Email: rebecca.owen-6@postgrad.manchester.ac.uk	Bipolar_Study	2294419860
o	I'M A WIFE/MOTHER OF FOUR WONDERFUL KIDS/A GRANDMOTHER AND I HAVE BIPOLAR -2 BEEN LIVING WITH IT FOR A YEAR NOW	simmons29	167645750
x	I'm a strong  advocate for those with mental illnesses. I show there is hope and provide info about bipolar disorder and sometimes other mental illnesses.	Bipolar_Bandit	760091616
