"term","weight"
"_intercept","23.2188604687"
"raining","235.750747016"
"yellow","-71.0739016775"
"four","-27.8786758306"
"gag","-79.9019763069"
"woods","35.3610249356"
"spiders","-20.3825632808"
"friend's","47.1684119493"
"hanging","111.690159235"
"woody","88.2460568417"
"marching","-112.773504559"
"increase","79.4046821209"
"electricity","12.2941812706"
"funk","38.2489728365"
"lord","-128.780698841"
"immature","-143.595143479"
"shaving","59.3759531123"
"sinking","-63.0723500698"
"callin","37.723651898"
"kent","125.744998674"
"retail","74.9228353096"
"oceans","-53.6462118823"
"dell","-87.7820945284"
"crackin","-55.8040869226"
"foul","67.7656789338"
"politician","-24.0928562221"
"stabbed","-43.1788040116"
"screaming","-188.445674889"
"flys","-49.5297156225"
"disturb","29.6354578111"
"basics","-18.2140982018"
"prize","154.293489493"
"wooden","-8.30306482537"
"wednesday","-0.558141618784"
"crotch","-57.9077923954"
"zzzzzz","-31.9855292334"
"commented","-69.3766425934"
"specially","-15.7530957173"
"tired","-4.15264733052"
"miller","-8.69665770743"
"bacon","150.791324502"
"pulse","13.4871002963"
"tires","11.9105277056"
"consists","-95.7230989986"
"second","-174.391972939"
"snuggled","-26.2194725905"
"admire","-5.84722030696"
"errors","3.9744028279"
"t-minus","1.29607956317"
"thunder","156.085903579"
"cooking","189.363686399"
"fingers","-133.463378814"
"alllll","0.71284756058"
"increasing","25.6296565233"
"no1","46.6063585113"
"specialist","60.9485734444"
"hero","-50.3664373955"
"aja","-186.050451056"
"leaning","38.94336357"
"jasmine","-108.730079608"
"here","211.241366365"
"herd","45.2210045481"
"47","-92.1322712094"
"china","-172.750569802"
"hers","9.15153881491"
"dork","30.6709135964"
"kids","289.770123558"
"k","-84.1085953284"
"climbed","-145.988856011"
"reports","111.739921739"
"snowing","68.5943169199"
"iloveyou","-0.280744354709"
"i'd","136.806133447"
"menu","176.140236431"
"military","-256.28308717"
"i'm","-23.5455808468"
"criticism","169.097013445"
"golden","-29.0772711576"
"divide","-48.2866185099"
"magically","74.9613374111"
"geography","-196.494293726"
"disability","163.829434943"
"explained","16.2693880039"
"replace","84.8208409818"
"psychological","147.111477675"
"hahahahah","1.87798693528"
"txt","66.4187758256"
"unit","36.4941567883"
"hoping","60.1582013411"
"sexual","10.766276687"
"cheating","48.6070576651"
"dna","63.6304476984"
"spoke","167.383743572"
"catchy","-81.9015443361"
"dnt","25.8310923045"
"symphony","-36.3306233327"
"music","-126.70097591"
"therefore","-398.897816809"
"passport","-3.24554338415"
"strike","-58.1481975097"
"until","-100.317640218"
"nyquil","11.1843825487"
"paperwork","106.83453227"
"holy","46.5647199778"
"relax","-212.22771165"
"successful","-294.862873335"
"brings","48.7790006192"
"feared","31.061749719"
"yahoo","352.628134476"
"hurt","-20.9256409536"
"99","25.2489129771"
"glass","235.245520959"
"holi","-157.436309565"
"91","158.406824375"
"90","112.818483461"
"midst","8.20253524937"
"92","43.345812566"
"95","-130.146454705"
"94","-33.6080651643"
"97","-171.123054481"
"circumstances","204.383716934"
"listenin","33.7076528762"
"locked","-158.963759975"
"pursue","1.89158952542"
"accomplishment","-3.64082610871"
"locker","-13.1399258147"
"sweeter","6.448711768"
"wot","340.222092283"
"coulda","-50.3081416787"
"wana","-17.867593749"
"triple","-73.3227381068"
"wand","-62.2261988476"
"pooped","-10.503703169"
"household","51.8353926018"
"organized","8.92989507702"
"dragons","-109.106906174"
"caution","67.501426676"
"want","-51.1086718864"
"absolute","112.993179936"
"preferably","-118.754194999"
"hoe","97.5921758065"
"hehehehehe","-16.327189382"
"complaining","-36.6144937623"
"hoo","433.242675339"
"travel","372.753613437"
"feature","48.9078374213"
"machine","146.390643114"
"how","25.2822281569"
"hot","257.457825178"
"hop","160.999898392"
"yum","-11.6910528734"
"disgrace","-58.3588948228"
"ronnie","206.971354523"
"hoy","79.3946934956"
"gaming","-101.779994662"
"beauty","-201.396464121"
"typed","-98.819285102"
"yun","-40.0743202544"
"dinosaurs","112.379204172"
"wrong","45.8997647556"
"raiders","124.840679608"
"destined","-56.9534161235"
"types","105.893398463"
"effective","-10.2278071049"
"wins","161.666775934"
"wink","36.3016499499"
"18th","-67.822843493"
"keeps","114.716942176"
"wing","84.7616512101"
"wind","124.217628216"
"wine","486.822207842"
"__","27.6839241043"
"feedback","154.985358727"
"welcomed","-91.5045593752"
"dreamed","9.26261531352"
"thousands","-134.40926758"
"bubbles","-149.315772971"
"1-10","132.719990679"
"exited","-22.6320815698"
